symbols,brain > body (default),brain >= body,brain non-zero
LYST,0,0,1
CHRM3,0,1,1
CHRM4,1,1,1
CHRM5,1,1,1
CHRNA1,0,1,1
CHRNA2,1,1,1
CHRNA3,0,1,1
CHRNA4,1,1,1
CHRNA5,0,1,1
CHRNA7,0,1,1
CHRNB1,0,1,1
CHRNB2,1,1,1
CHRNB3,0,0,0
CHRNB4,0,0,0
CHRND,0,1,1
CHRNE,0,0,1
CHRNG,0,0,0
CHUK,0,0,1
CIDEA,0,0,0
CKB,1,1,1
CIRBP,0,1,1
CISH,0,0,1
TBCB,1,1,1
CKM,0,1,1
CKMT1B,1,1,1
CKMT2,0,1,1
ERCC8,0,0,1
CKS1B,0,0,1
CKS2,0,0,1
AP2M1,0,1,1
AP1S1,1,1,1
AP2S1,0,1,1
AP3S1,0,1,1
CLC,0,0,0
CLCA1,0,0,0
CLCN1,0,1,1
CLCN2,0,1,1
CLCN3,1,1,1
CLCN4,1,1,1
CLCN5,0,0,1
CLCN6,0,1,1
CLCN7,0,0,1
CLCNKA,0,1,1
CLCNKB,0,1,1
CLU,1,1,1
CLIC1,0,0,1
CLIC2,0,0,1
CLK1,0,0,1
CLK2,0,0,1
CLK2P1,0,0,0
CLK3,0,0,1
TPP1,0,1,1
CLN3,0,0,1
CLN5,0,0,1
CLNS1A,0,1,1
CLPS,0,1,1
CLPTM1,0,1,1
CLTA,0,1,1
CLTB,0,1,1
CLTC,0,1,1
CMA1,0,0,0
CCR1,0,0,1
CCR3,0,0,0
CCR4,0,0,0
CCR5,0,0,1
CCR6,0,1,1
CCR7,0,0,1
CCR8,0,0,0
ACKR2,0,0,1
CMKLR1,0,0,1
LTB4R,0,0,1
ABCC2,0,0,1
CNGB1,1,1,1
CNGA1,0,0,1
CNGA2,0,0,0
CNGA3,0,1,1
CNGA4,0,1,1
PLK3,0,0,1
CNN1,0,0,1
CNN2,0,0,1
CNN3,0,1,1
CNP,1,1,1
CNR1,0,1,1
CNR2,0,0,0
CNTF,0,1,1
CNTFR,1,1,1
CNTN1,1,1,1
COL1A1,0,0,1
COL1A2,0,0,1
COL2A1,0,1,1
COL3A1,0,0,1
COL4A1,0,0,1
COL4A2,0,0,1
COL4A3,0,0,1
COL4A4,0,0,1
COL4A5,0,1,1
COL4A6,0,0,1
COL5A1,0,0,1
COL5A2,0,0,1
COL6A1,0,0,1
COL6A2,0,0,1
COL6A3,0,0,1
COL7A1,0,1,1
COL8A1,0,0,1
COL8A2,0,0,1
COL9A1,1,1,1
COL9A2,1,1,1
COL9A3,1,1,1
COL10A1,0,1,1
COL11A1,1,1,1
COL11A2,1,1,1
COL12A1,0,0,1
COL13A1,0,1,1
COL15A1,0,0,1
COL16A1,0,1,1
COL17A1,0,1,1
COL19A1,0,1,1
COMP,0,0,1
COMT,0,1,1
COPA,0,0,1
COPB1,0,0,1
KLF6,0,0,1
SLC31A1,0,0,1
SLC31A2,0,1,1
CORT,1,1,1
MAP3K8,0,0,1
COX4I1,1,1,1
COX5B,0,1,1
COX6A1,1,1,1
COX6A2,0,1,1
COX6B1,0,1,1
COX6C,0,1,1
COX7A1,0,1,1
COX7A2,0,1,1
COX7B,0,1,1
COX7C,0,1,1
COX8A,0,1,1
COX10,0,0,1
COX11,0,1,1
COX15,0,0,1
CP,0,1,1
CPA1,0,0,1
CPA2,0,1,1
CPA3,0,0,1
CPB1,0,1,1
CPB2,0,1,1
CPD,0,0,1
CPE,1,1,1
CLDN4,0,0,1
CLDN3,0,1,1
CLDN7,0,0,1
CPM,0,0,1
CPN1,0,0,0
CPN2,0,0,0
CPOX,0,1,1
CPS1,0,1,1
CPT1A,0,0,1
CPT1B,0,1,1
CPT2,0,0,1
CR1,0,0,1
CR1L,0,0,0
CR2,0,1,1
CRABP1,1,1,1
CRABP2,0,1,1
CRAT,0,0,1
CREB1,0,0,1
ATF2,0,1,1
CREBBP,0,0,1
ATF6B,0,0,1
CREBL2,0,1,1
CREM,0,1,1
CRH,1,1,1
CRHBP,0,1,1
CRHR1,1,1,1
CRHR2,0,1,1
CRIP1,0,0,1
CRIP2,0,1,1
CRK,0,0,1
CRKL,0,1,1
CRMP1,1,1,1
CRP,0,1,1
HAPLN1,0,1,1
CRX,0,0,0
CRY1,0,0,1
CRY2,0,1,1
CRYAB,0,1,1
CRYBA1,0,0,0
CRYBA2,0,1,1
CRYBA4,0,0,0
CRYBB1,0,1,1
CRYBB2,0,1,1
CRYBB2P1,0,1,1
CRYBB3,0,0,1
CRYGA,0,0,0
CRYGB,0,0,0
CRYGC,0,0,0
CRYGD,1,1,1
CRYGS,0,1,1
CRYM,1,1,1
CRYZ,0,0,1
CS,0,0,1
MAPK14,0,0,1
CSE1L,0,0,1
CSF1,0,0,1
CSF1R,0,1,1
CSF2,0,0,0
CSF2RA,0,1,1
CSF2RB,0,0,1
CSF3,0,0,1
CSF3R,0,1,1
CSH1,0,0,0
CSH2,0,0,0
CSHL1,0,0,0
CSK,0,0,1
CSN1S1,0,0,0
CSN2,0,0,0
CSN3,0,0,0
CSNK1A1,0,0,1
CSNK1D,0,0,1
CSNK1E,0,1,1
CSNK1G2,0,1,1
CSNK1G3,0,0,1
CSNK2A1,0,0,1
CSNK2A2,0,0,1
CSNK2B,0,0,1
VCAN,0,1,1
NCAN,1,1,1
CSPG4,0,0,1
CSRP1,0,1,1
CSRP2,0,0,1
SLC25A10,0,1,1
CST1,0,0,0
CST2,0,0,0
CST3,1,1,1
CST5,0,0,0
CST6,0,0,1
CSTA,0,0,1
CSTB,0,0,1
CSTF1,0,0,1
CSTF2,0,1,1
CSTF3,0,1,1
NKX2-5,0,1,1
CTAG1B,0,0,0
CTBS,0,0,1
CTBP1,0,1,1
CTBP2,0,0,1
CTF1,0,0,1
CTGF,0,0,1
CTH,0,1,1
CTLA4,0,0,1
CTNNA1,0,0,1
CTNNA2,1,1,1
